,Year,State,count,Cancer Sites,Count
0,2000,Alabama,49.2,Liver,18
1,2001,Alabama,47.2,Liver,17
2,2002,Alabama,47.6,Liver,39
3,2003,Alabama,49.2,Liver,35
4,2004,Alabama,45.7,Liver,82
5,2005,Alabama,45.7,Liver,87
6,2006,Alabama,46.5,Liver,88
7,2007,Alabama,45.7,Liver,87
8,2008,Alabama,44.0,Liver,96
9,2009,Alabama,45.4,Liver,112
10,2010,Alabama,45.8,Liver,122
